type,feature,id,dataset,group
baseline,describe historical sports seasons and team records.,0,dbpedia,0
baseline,highlight airport locations and specifications.,1,dbpedia,0
baseline,provide biographical details about comic book artists.,2,dbpedia,0
baseline,discuss fictional characters from anime and manga series.,3,dbpedia,0
baseline,cover historical or contemporary painter backgrounds.,4,dbpedia,0
baseline,detail operations and specifications of hydroelectric dams.,5,dbpedia,0
baseline,highlight fashion designers and their contributions.,6,dbpedia,0
baseline,provide insights into Roman Catholic dioceses.,7,dbpedia,0
baseline,describe comedians and their television contributions.,8,dbpedia,0
baseline,cover the construction and impact of specific dams.,9,dbpedia,0
baseline,describe airports and their passenger statistics.,10,dbpedia,0
baseline,highlight achievements in indoor football league seasons.,11,dbpedia,0
baseline,detail the origin and history of particular franchises.,12,dbpedia,0
baseline,describe fictional character development in anime series.,13,dbpedia,0
baseline,cover historical football team records and achievements.,14,dbpedia,0
baseline,highlight the features and purposes of airstrips.,15,dbpedia,0
baseline,detail the era and style of fashion designers.,16,dbpedia,0
baseline,discuss the history of prominent Roman Catholic churches.,17,dbpedia,0
baseline,describe individual crimes or incidents involving characters.,18,dbpedia,0
baseline,cover interconnected relationships of anime characters.,19,dbpedia,0
baseline,describe the context and history of particular artworks.,20,dbpedia,0
baseline,detail manga series protagonists and their abilities.,21,dbpedia,0
baseline,highlight key information about Roman Catholic archdioceses.,22,dbpedia,0
baseline,cover the history and usage of Royal Air Force stations.,23,dbpedia,0
baseline,describe the development and features of character voices.,24,dbpedia,0
baseline,discuss hydroelectric dam construction and their regional significance.,25,dbpedia,0
baseline,cover foundational and growth aspects of high schools.,26,dbpedia,0
baseline,describe formation and key events of religious dioceses.,27,dbpedia,0
baseline,highlight significant records of Roman Catholic dioceses.,28,dbpedia,0
baseline,cover the introduction and journey of fictional characters.,29,dbpedia,0
baseline,provide history and purpose of concrete dams.,30,dbpedia,0
baseline,discuss aspects of Christian religious orders and dioceses.,31,dbpedia,0
baseline,cover the background and works of Italian painters.,32,dbpedia,0
baseline,describe the thematic focuses and styles of designers.,33,dbpedia,0
baseline,detail fictional characters in context of series and films.,34,dbpedia,0
baseline,cover structural purpose and historical significance of airfields.,35,dbpedia,0
baseline,highlight the significance of fashion designers in history.,36,dbpedia,0
baseline,cover voice acting and media reception of characters.,37,dbpedia,0
baseline,highlight specific Roman Catholic dioceses in various regions.,38,dbpedia,0
baseline,provide historical context of fictional anime narratives.,39,dbpedia,0
baseline,describe achievements in professional leagues and championships.,40,dbpedia,0
baseline,cover the historical significance of unique sports seasons.,41,dbpedia,0
baseline,provide biographies of contemporary and historical artists.,42,dbpedia,0
baseline,describe the scenic locations associated with certain artists.,43,dbpedia,0
baseline,highlight religious organization and administration details.,44,dbpedia,0
baseline,cover protagonist backgrounds in TV series adaptations.,45,dbpedia,0
baseline,describe artist involvement in paranormal or supernatural themes.,46,dbpedia,0
baseline,address operational changes and historical contexts of airports.,47,dbpedia,0
baseline,provide insight into the growth of airports.,48,dbpedia,0
baseline,provide insight into the growth of airports.,49,dbpedia,0
prompting,The selected string lacks detailed biographical information.,0,dbpedia,0
prompting,The selected string uses Japanese characters for a name.,1,dbpedia,0
prompting,The selected string includes multiple adaptations and portrayals of the character.,2,dbpedia,0
prompting,The selected string uses Japanese characters for a name.,3,dbpedia,0
prompting,The selected string is suitable for a sports audience.,4,dbpedia,0
prompting,The selected string focuses on a specific sports team.,5,dbpedia,0
prompting,The selected string is concise with fewer personal achievements.,6,dbpedia,0
prompting,The selected string specifies ecclesiastical hierarchy and affiliations.,7,dbpedia,0
prompting,The selected string focuses on an individual person.,8,dbpedia,0
prompting,The selected string is concise and to the point.,9,dbpedia,0
prompting,The selected string uses technical aviation terminology and codes.,10,dbpedia,0
prompting,The selected string provides extensive career achievements and accolades.,11,dbpedia,0
prompting,The selected string omits specific geographic or cultural context.,12,dbpedia,0
prompting,The selected string is concise with minimal historical context.,13,dbpedia,0
prompting,The selected string highlights a historic sports achievement.,14,dbpedia,0
prompting,The selected string lacks detailed historical or contextual background.,15,dbpedia,0
prompting,The selected string specifies a geographical location in Brazil.,16,dbpedia,0
prompting,The selected string focuses on a religious administrative region.,17,dbpedia,0
prompting,"The selected string highlights a long-lasting project, nine years.",18,dbpedia,0
prompting,The selected string uses formal and factual language.,19,dbpedia,0
prompting,The selected string omits technical or specialized terminology.,20,dbpedia,0
prompting,The selected string mentions a historical unification event.,21,dbpedia,0
prompting,The selected string lacks historical or statistical data.,22,dbpedia,0
prompting,The selected string uses a narrative style with chronological events.,23,dbpedia,0
prompting,The selected string lacks personal or biographical elements.,24,dbpedia,0
prompting,The selected string mentions specific political and geographical changes.,25,dbpedia,0
prompting,The selected string is set in a fictional feudal world.,26,dbpedia,0
prompting,The selected string includes specific birthdate and birthplace details.,27,dbpedia,0
prompting,"The selected string uses a straightforward, factual tone throughout.",28,dbpedia,0
prompting,The selected string emphasizes factual data over narrative storytelling.,29,dbpedia,0
prompting,The selected string references multiple media adaptations and sequels.,30,dbpedia,0
prompting,The selected string involves a quest for mystical objects.,31,dbpedia,0
prompting,The selected string includes specific game scores and outcomes.,32,dbpedia,0
prompting,The selected string includes specific player statistics and achievements.,33,dbpedia,0
prompting,The selected string mentions a retail chain connection.,34,dbpedia,0
prompting,The selected string provides birth and death years of the subject.,35,dbpedia,0
prompting,The selected string highlights Italian Renaissance setting.,36,dbpedia,0
prompting,The selected string includes specific passenger statistics and data.,37,dbpedia,0
prompting,"The selected string includes a nickname, 'Weezie'.",38,dbpedia,0
prompting,The selected string focuses on a fictional character's narrative.,39,dbpedia,0
prompting,"The selected string references a specific cultural event, Anime Festival Asia.",40,dbpedia,0
prompting,The selected string is concise and to the point.,41,dbpedia,0
prompting,The selected string highlights character's popularity in series' polls.,42,dbpedia,0
prompting,The selected string lacks geographical or institutional affiliations.,43,dbpedia,0
prompting,The selected string describes a specific engineering structure.,44,dbpedia,0
prompting,The selected string includes Latin terminology and ecclesiastical references.,45,dbpedia,0
prompting,The selected string mentions specific fines and penalties.,46,dbpedia,0
prompting,The selected string describes a geographical location and infrastructure.,47,dbpedia,0
prompting,The selected string highlights involvement in multiple entertainment formats.,48,dbpedia,0
prompting,The selected string mentions a specific city location in Peru.,49,dbpedia,0
featurization,The selected string focuses on a religious administrative region.,0,dbpedia,0
featurization,The selected string includes multiple media appearances and adaptations.,1,dbpedia,0
featurization,The selected string focuses on a single dam project.,2,dbpedia,0
featurization,The selected string includes specific game outcomes and records.,3,dbpedia,0
featurization,The selected string focuses on an individual artist's biography.,4,dbpedia,0
featurization,The selected string uses technical identifiers like TC LID: CAG6.,5,dbpedia,0
featurization,The selected string focuses on a single individual's biography.,6,dbpedia,0
featurization,The selected string includes a non-English language script.,7,dbpedia,0
featurization,The selected string highlights achievements in the comic book field.,8,dbpedia,0
featurization,The selected string focuses on a religious diocese.,9,dbpedia,0
featurization,The selected string focuses on aviation and airport details.,10,dbpedia,0
featurization,The selected string includes a disambiguation note for clarity.,11,dbpedia,0
featurization,The selected string includes Japanese language and translation details.,12,dbpedia,0
featurization,The selected string mentions multiple media appearances of the character.,13,dbpedia,0
featurization,The selected string describes ownership and management details.,14,dbpedia,0
featurization,The selected string focuses on a single season's performance.,15,dbpedia,0
featurization,The selected string includes historical operational details.,16,dbpedia,0
featurization,The selected string focuses on a historical art figure.,17,dbpedia,0
featurization,The selected string focuses on a single location.,18,dbpedia,0
featurization,The selected string focuses on a specific sports team history.,19,dbpedia,0
featurization,The selected string highlights a career in entertainment.,20,dbpedia,0
featurization,The selected string includes detailed biographical information about an artist.,21,dbpedia,0
featurization,The selected string focuses on a specific sports team.,22,dbpedia,0
featurization,The selected string involves a science fiction and fantasy setting.,23,dbpedia,0
featurization,The selected string focuses on a single fictional character.,24,dbpedia,0
featurization,The selected string highlights a familial relationship between subjects.,25,dbpedia,0
featurization,The selected string references an anime adaptation.,26,dbpedia,0
featurization,The selected string includes multiple language translations.,27,dbpedia,0
featurization,The selected string focuses on a transportation facility.,28,dbpedia,0
featurization,The selected string focuses on religious and ecclesiastical content.,29,dbpedia,0
featurization,The selected string describes a current organizational structure.,30,dbpedia,0
featurization,The selected string includes specific publication details and dates.,31,dbpedia,0
featurization,The selected string mentions awards and nominations.,32,dbpedia,0
featurization,The selected string includes specific exhibition names and locations.,33,dbpedia,0
featurization,"The selected string highlights a specific sports league, the NFL.",34,dbpedia,0
featurization,The selected string highlights character's popularity in specific polls.,35,dbpedia,0
featurization,The selected string features a duo as central characters.,36,dbpedia,0
featurization,The selected string contains critical reception and reviews.,37,dbpedia,0
featurization,The selected string highlights a specific award and year.,38,dbpedia,0
featurization,The selected string specifies ecclesiastical hierarchy with 'suffragan'.,39,dbpedia,0
featurization,The selected string mentions a specific bishop by name.,40,dbpedia,0
featurization,The selected string mentions a specific award received.,41,dbpedia,0
featurization,The selected string discusses character popularity and merchandise.,42,dbpedia,0
featurization,The selected string emphasizes a character's adversarial role.,43,dbpedia,0
featurization,The selected string includes voice actor information for two languages.,44,dbpedia,0
